案例编号,案例标题,严重程度,痛点大类,痛点细分,技术可解决性,方案匹配,睡眠相关性,影响范围,内容类型,用户情绪,关键原话
001,ASMR广告惊醒用户,P0,A_音量问题,A1_广告音量突变,S1_完全可解决,M1_完美匹配,R1_直接相关,I1_普遍问题,T1_ASMR,E_愤怒,"广告音量比ASMR视频高5-10倍"
002,睡眠视频创作者请愿,P0,A_音量问题,A1_广告音量突变,S1_完全可解决,M1_完美匹配,R1_直接相关,I1_普遍问题,T2_睡眠助眠,E_无奈,"超过87000人签名请愿去除睡眠内容广告"
003,52岁悉尼用户被广告惊醒,P0,A_音量问题,A1_广告音量突变,S1_完全可解决,M1_完美匹配,R1_直接相关,I2_常见问题,T2_睡眠助眠,E_愤怒,"凌晨4点被广告惊醒心跳加速"
004,恐怖电影广告惊吓用户,P0,D_广告相关,D3_恐怖不适内容,S4_基本无法解决,M5_完全不匹配,R2_高度相关,I2_常见问题,T0_通用,E_恐惧,"恐怖电影广告在儿童内容中播放"
005,YouTube官方承认广告音量问题,P1,A_音量问题,A1_广告音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_无奈,"YouTube称会根据响度标准化但实际不完美"
006,背景音乐盖过人声,P1,B_音频质量,B1_背景音乐盖过人声,S3_部分可解决,M3_部分匹配,R3_中度相关,I1_普遍问题,T5_教程讲解,E_困惑,"无法听清说话内容需要开字幕"
007,视频音量不一致需要频繁调节,P1,A_音量问题,A2_视频间音量差异,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_无奈,"切换视频需要不断调音量"
008,播客录音质量差听不清,P2,B_音频质量,B3_录音质量差,S3_部分可解决,M4_少量匹配,R3_中度相关,I2_常见问题,T4_播客访谈,E_失望,"远程录音质量参差不齐"
009,Change.org请愿广告监管,P0,D_广告相关,D1_广告打断内容,S4_基本无法解决,M5_完全不匹配,R2_高度相关,I1_普遍问题,T0_通用,E_愤怒,"请愿要求监管机构介入"
010,睡眠视频自动播放到不相关内容,P1,E_平台功能,E1_自动播放问题,S4_基本无法解决,M5_完全不匹配,R1_直接相关,I1_普遍问题,T2_睡眠助眠,E_无奈,"自动播放到完全不相关的视频"
011,YouTube音量太低听不清,P2,A_音量问题,A5_整体音量过低,S2_大部分可解决,M2_高度匹配,R3_中度相关,I2_常见问题,T0_通用,E_困惑,"已调到最大还是听不清"
012,Intro音乐太响震耳,P0,A_音量问题,A3_视频内音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_愤怒,"视频开场音乐震耳欲聋"
013,视频内音量不均匀,P1,A_音量问题,A3_视频内音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_无奈,"同一视频内音量忽大忽小"
014,电视剧电影对话太轻音乐太响,P1,B_音频质量,B1_背景音乐盖过人声,S2_大部分可解决,M2_高度匹配,R3_中度相关,I1_普遍问题,T6_影视娱乐,E_困惑,"对话声音小到听不清"
015,Apex游戏EA启动音效震耳,P1,A_音量问题,A4_突发音效,S1_完全可解决,M1_完美匹配,R4_低度相关,I3_特定场景,T7_游戏电竞,E_愤怒,"游戏启动音效音量过大"
016,TikTok用户分享YouTube自动播放惊吓经历,P0,E_平台功能,E1_自动播放问题,S4_基本无法解决,M5_完全不匹配,R1_直接相关,I2_常见问题,T2_睡眠助眠,E_恐惧,"睡着后自动播放恐怖内容"
017,ASMR创作者被迫接受广告导致用户惊醒,P0,D_广告相关,D1_广告打断内容,S4_基本无法解决,M2_高度匹配,R1_直接相关,I2_常见问题,T1_ASMR,E_无奈,"创作者无法控制广告插入"
018,流媒体咕哝问题半数用户开字幕,P2,B_音频质量,B1_背景音乐盖过人声,S3_部分可解决,M3_部分匹配,R3_中度相关,I1_普遍问题,T6_影视娱乐,E_困惑,"50%用户需要开字幕"
019,YouTube网络差时降低音频质量,P2,B_音频质量,B3_录音质量差,S5_完全无法解决,M5_完全不匹配,R4_低度相关,I2_常见问题,T0_通用,E_失望,"网络不好时音质明显下降"
020,Home Theater论坛人声消失只剩背景音乐,P1,B_音频质量,B1_背景音乐盖过人声,S3_部分可解决,M3_部分匹配,R3_中度相关,I2_常见问题,T6_影视娱乐,E_困惑,"人声几乎听不到"
021,Quora用户抱怨视频间音量差异巨大,P1,A_音量问题,A2_视频间音量差异,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_无奈,"不同视频音量差别太大"
022,Change.org请愿保留ASMR视频片尾广告选择权,P0,D_广告相关,D1_广告打断内容,S4_基本无法解决,M5_完全不匹配,R1_直接相关,I2_常见问题,T1_ASMR,E_无奈,"请愿让创作者控制广告位置"
023,Hacker News讨论YouTube自动播放垃圾内容,P1,E_平台功能,E1_自动播放问题,S4_基本无法解决,M5_完全不匹配,R2_高度相关,I1_普遍问题,T0_通用,E_无奈,"自动播放推荐越来越离谱"
024,AVS论坛用户抱怨对话太轻音乐太响,P1,B_音频质量,B1_背景音乐盖过人声,S2_大部分可解决,M2_高度匹配,R3_中度相关,I1_普遍问题,T6_影视娱乐,E_困惑,"电影对话和配乐不平衡"
025,Tech Support Guy论坛背景音乐盖过解说,P1,B_音频质量,B1_背景音乐盖过人声,S3_部分可解决,M3_部分匹配,R3_中度相关,I1_普遍问题,T5_教程讲解,E_困惑,"教程视频解说被背景音盖住"
026,用户抱怨YouTuber说话太快听不懂,P2,C_语音语速,C1_语速过快,S2_大部分可解决,M2_高度匹配,R3_中度相关,I2_常见问题,T5_教程讲解,E_困惑,"说话太快跟不上"
027,FCC收到数千投诉广告仍然太响,P1,A_音量问题,A1_广告音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_愤怒,"FCC收到大量投诉"
028,YouTube白噪音视频广告打断婴儿睡眠,P0,D_广告相关,D1_广告打断内容,S4_基本无法解决,M2_高度匹配,R1_直接相关,I2_常见问题,T3_白噪音自然声,E_愤怒,"婴儿被广告吵醒全家受影响"
029,YouTube冥想视频被广告中断用户抱怨,P0,D_广告相关,D1_广告打断内容,S4_基本无法解决,M2_高度匹配,R1_直接相关,I2_常见问题,T2_睡眠助眠,E_无奈,"冥想进入状态被广告打断"
030,Quora用户讨论广告打断视频的感受,P1,D_广告相关,D1_广告打断内容,S4_基本无法解决,M5_完全不匹配,R2_高度相关,I1_普遍问题,T0_通用,E_无奈,"广告越来越多越来越频繁"
031,AnandTech论坛抱怨YouTube机器人配音,P2,C_语音语速,C3_TTS机器人声音,S4_基本无法解决,M5_完全不匹配,R3_中度相关,I2_常见问题,T5_教程讲解,E_失望,"TTS配音让人无法放松"
032,SpaceBattles论坛讨论TTS视频烦人程度,P2,C_语音语速,C3_TTS机器人声音,S4_基本无法解决,M5_完全不匹配,R3_中度相关,I2_常见问题,T0_通用,E_失望,"机器人声音令人厌烦"
033,OBS论坛YouTube直播音频爆音问题,P1,B_音频质量,B4_音频削波失真,S2_大部分可解决,M2_高度匹配,R3_中度相关,I3_特定场景,T0_通用,E_困惑,"直播音频经常爆音"
034,YouTube官方论坛直播音质差投诉,P2,B_音频质量,B3_录音质量差,S3_部分可解决,M4_少量匹配,R3_中度相关,I3_特定场景,T0_通用,E_失望,"直播音质不如点播"
035,家长投诉YouTube Kids自动播放恐怖内容,P0,E_平台功能,E1_自动播放问题,S4_基本无法解决,M5_完全不匹配,R2_高度相关,I2_常见问题,T8_儿童内容,E_恐惧,"儿童视频自动播放到恐怖内容"
036,Head-Fi论坛抱怨YouTube稳定音量功能,P2,E_平台功能,E3_稳定音量功能,S4_基本无法解决,M5_完全不匹配,R3_中度相关,I3_特定场景,T0_通用,E_困惑,"稳定音量破坏音乐动态"
037,Quora讨论为什么YouTuber视频开头总是很响,P1,A_音量问题,A3_视频内音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_困惑,"视频开头总是特别响"
038,YouTube TV论坛音量随机增加问题,P1,A_音量问题,A3_视频内音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I3_特定场景,T0_通用,E_困惑,"音量突然自己变大"
039,用户抱怨播客视频太安静需要一直调音量,P2,A_音量问题,A5_整体音量过低,S2_大部分可解决,M2_高度匹配,R3_中度相关,I2_常见问题,T4_播客访谈,E_无奈,"播客音量太小"
040,Chrome扩展市场音频均衡器需求火爆,P1,A_音量问题,A2_视频间音量差异,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_无奈,"用户主动寻求扩展解决音量问题"
041,Windows睡眠模式自动播放YouTube吓醒用户,P0,E_平台功能,E1_自动播放问题,S4_基本无法解决,M5_完全不匹配,R1_直接相关,I3_特定场景,T0_通用,E_恐惧,"电脑休眠唤醒后自动播放"
042,用户抱怨YouTube Voice说话方式烦人,P2,C_语音语速,C4_说话风格问题,S5_完全无法解决,M5_完全不匹配,R3_中度相关,I2_常见问题,T5_教程讲解,E_无奈,"YouTube特有的说话腔调"
043,YouTube Music音质差低音问题投诉,P2,B_音频质量,B3_录音质量差,S3_部分可解决,M4_少量匹配,R4_低度相关,I3_特定场景,T9_音乐,E_失望,"YouTube Music音质不如专业平台"
044,睡眠催眠视频被广告打断用户体验,P0,D_广告相关,D1_广告打断内容,S4_基本无法解决,M2_高度匹配,R1_直接相关,I2_常见问题,T2_睡眠助眠,E_无奈,"催眠进入状态被广告破坏"
045,教程视频背景音乐盖过解说声音问题,P1,B_音频质量,B1_背景音乐盖过人声,S3_部分可解决,M3_部分匹配,R3_中度相关,I1_普遍问题,T5_教程讲解,E_困惑,"背景音乐太响听不清讲解"
046,雷声环境音视频突然雷鸣吓人问题,P1,A_音量问题,A4_突发音效,S1_完全可解决,M1_完美匹配,R1_直接相关,I2_常见问题,T3_白噪音自然声,E_恐惧,"雷声视频突然巨响"
047,视频音频有回声混响听不清问题,P2,B_音频质量,B2_回声混响问题,S3_部分可解决,M4_少量匹配,R3_中度相关,I2_常见问题,T0_通用,E_困惑,"回声太大听不清"
048,视频背景噪音盖过人声问题,P2,B_音频质量,B5_背景噪音干扰,S3_部分可解决,M4_少量匹配,R3_中度相关,I2_常见问题,T0_通用,E_困惑,"环境噪音太大"
049,恐怖游戏主播尖叫震耳问题,P1,A_音量问题,A4_突发音效,S1_完全可解决,M1_完美匹配,R3_中度相关,I3_特定场景,T7_游戏电竞,E_无奈,"主播突然尖叫"
050,有声书章节间音量不一致问题,P1,A_音量问题,A3_视频内音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I2_常见问题,T10_有声书,E_无奈,"不同章节音量差异大"
051,纪录片旁白被背景音乐盖过问题,P1,B_音频质量,B1_背景音乐盖过人声,S3_部分可解决,M3_部分匹配,R3_中度相关,I2_常见问题,T6_影视娱乐,E_困惑,"纪录片配乐太响"
052,烹饪视频油煎声盖过解说问题,P2,B_音频质量,B5_背景噪音干扰,S3_部分可解决,M4_少量匹配,R4_低度相关,I3_特定场景,T5_教程讲解,E_困惑,"煎炒声盖过说话"
053,游戏视频爆炸枪声可能损害听力,P0,A_音量问题,A4_突发音效,S1_完全可解决,M1_完美匹配,R3_中度相关,I2_常见问题,T7_游戏电竞,E_恐惧,"枪声爆炸声可能损害听力"
054,健身视频教练大喊大叫问题,P2,C_语音语速,C4_说话风格问题,S3_部分可解决,M3_部分匹配,R4_低度相关,I2_常见问题,T5_教程讲解,E_无奈,"教练喊叫令人不适"
055,YouTuber响亮intro音乐令人厌烦,P1,A_音量问题,A3_视频内音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_无奈,"intro音乐太响"
056,YouTube视频内置赞助商片段音量不同,P1,A_音量问题,A3_视频内音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I2_常见问题,T0_通用,E_无奈,"赞助商广告音量与正片不同"
057,Zoom会议录制上传YouTube音频有回声,P2,B_音频质量,B2_回声混响问题,S3_部分可解决,M4_少量匹配,R4_低度相关,I3_特定场景,T4_播客访谈,E_困惑,"Zoom录制回声严重"
058,YouTuber快速剪辑风格令人疲劳,P2,C_语音语速,C1_语速过快,S2_大部分可解决,M2_高度匹配,R3_中度相关,I2_常见问题,T5_教程讲解,E_无奈,"剪辑太快无法放松"
059,视频音频左右声道不平衡问题,P2,B_音频质量,B6_声道不平衡,S2_大部分可解决,M3_部分匹配,R3_中度相关,I3_特定场景,T0_通用,E_困惑,"左右耳音量不同"
060,自然声音中某些鸟叫太响不利放松,P1,A_音量问题,A4_突发音效,S1_完全可解决,M1_完美匹配,R1_直接相关,I2_常见问题,T3_白噪音自然声,E_无奈,"鸟叫声太尖锐"
061,最无聊视频反而成为睡眠神器现象,P3,F_内容相关,F3_内容风格不适,S5_完全无法解决,M5_完全不匹配,R1_直接相关,I3_特定场景,T0_通用,E_无奈,"用户主动寻找无聊内容助眠"
062,耳鸣患者对YouTube高频声音敏感,P1,C_语音语速,C2_高频刺耳,S2_大部分可解决,M2_高度匹配,R2_高度相关,I3_特定场景,T0_通用,E_无奈,"高频声音加重耳鸣"
063,YouTube电视版稳定音量功能影响音质,P2,E_平台功能,E3_稳定音量功能,S4_基本无法解决,M5_完全不匹配,R3_中度相关,I3_特定场景,T0_通用,E_困惑,"稳定音量功能有副作用"
064,YouTube移动应用音量太低问题,P2,A_音量问题,A5_整体音量过低,S2_大部分可解决,M4_少量匹配,R3_中度相关,I2_常见问题,T0_通用,E_困惑,"手机版音量不够大"
065,儿童歌曲视频让家长崩溃,P2,F_内容相关,F3_内容风格不适,S5_完全无法解决,M5_完全不匹配,R4_低度相关,I2_常见问题,T8_儿童内容,E_无奈,"儿歌循环播放令人崩溃"
066,音频齿音刺耳S声音问题,P2,C_语音语速,C2_高频刺耳,S2_大部分可解决,M2_高度匹配,R3_中度相关,I2_常见问题,T0_通用,E_无奈,"齿音刺耳"
067,播客访谈两人音量差异大问题,P1,A_音量问题,A3_视频内音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I2_常见问题,T4_播客访谈,E_无奈,"主持人和嘉宾音量不同"
068,YouTube睡眠计时器功能问题,P2,E_平台功能,E2_睡眠计时器缺失,S4_基本无法解决,M5_完全不匹配,R1_直接相关,I2_常见问题,T2_睡眠助眠,E_无奈,"缺少睡眠计时功能"
069,YouTube双耳节拍被压缩可能失效,P2,B_音频质量,B3_录音质量差,S4_基本无法解决,M5_完全不匹配,R2_高度相关,I3_特定场景,T2_睡眠助眠,E_失望,"音频压缩破坏双耳节拍效果"
070,视频音频削波失真问题,P2,B_音频质量,B4_音频削波失真,S3_部分可解决,M4_少量匹配,R3_中度相关,I2_常见问题,T0_通用,E_困惑,"音频削波失真"
071,YouTube Premium仍有赞助商广告问题,P1,D_广告相关,D2_内置赞助商广告,S4_基本无法解决,M4_少量匹配,R2_高度相关,I2_常见问题,T0_通用,E_无奈,"付费也无法去除所有广告"
072,视频爆破音P和B声音问题,P2,B_音频质量,B7_爆破音问题,S2_大部分可解决,M2_高度匹配,R3_中度相关,I2_常见问题,T0_通用,E_无奈,"爆破音刺耳"
073,蓝牙耳机音频延迟与视频不同步,P2,G_技术问题,G1_音视频不同步,S5_完全无法解决,M5_完全不匹配,R3_中度相关,I2_常见问题,T0_通用,E_困惑,"蓝牙延迟"
074,YouTube音视频不同步缓冲问题,P2,G_技术问题,G1_音视频不同步,S5_完全无法解决,M5_完全不匹配,R3_中度相关,I2_常见问题,T0_通用,E_困惑,"音视频不同步"
075,YouTube自动选择错误语言音轨,P2,E_平台功能,E4_语言音轨问题,S5_完全无法解决,M5_完全不匹配,R4_低度相关,I3_特定场景,T0_通用,E_困惑,"自动选错语言"
076,YouTube音频爆裂噼啪静电噪音,P2,B_音频质量,B8_静电噪音,S3_部分可解决,M4_少量匹配,R3_中度相关,I2_常见问题,T0_通用,E_困惑,"噼啪杂音"
077,视频录音回声混响问题,P2,B_音频质量,B2_回声混响问题,S3_部分可解决,M4_少量匹配,R3_中度相关,I2_常见问题,T0_通用,E_困惑,"录音有回声"
078,YouTube讲述者声音单调无聊,P3,C_语音语速,C4_说话风格问题,S5_完全无法解决,M5_完全不匹配,R2_高度相关,I2_常见问题,T5_教程讲解,E_无奈,"声音太单调反而不助眠"
079,YouTube自动播放推荐奇怪内容,P1,E_平台功能,E1_自动播放问题,S4_基本无法解决,M5_完全不匹配,R2_高度相关,I1_普遍问题,T0_通用,E_无奈,"推荐越来越奇怪"
080,ASMR视频口腔声音争议,P3,F_内容相关,F3_内容风格不适,S5_完全无法解决,M5_完全不匹配,R2_高度相关,I3_特定场景,T1_ASMR,E_无奈,"ASMR内容因人而异"
081,YouTube通知打断睡眠冥想,P1,E_平台功能,E5_通知打断问题,S4_基本无法解决,M5_完全不匹配,R1_直接相关,I2_常见问题,T2_睡眠助眠,E_无奈,"通知弹窗打断冥想"
082,YouTube标题党缩略图与内容不符,P2,F_内容相关,F1_标题党内容不符,S5_完全无法解决,M5_完全不匹配,R3_中度相关,I1_普遍问题,T0_通用,E_失望,"点进去发现不是想要的内容"
083,YouTube音频压缩降低音质,P2,B_音频质量,B3_录音质量差,S4_基本无法解决,M5_完全不匹配,R3_中度相关,I1_普遍问题,T9_音乐,E_失望,"YouTube压缩音质"
084,YouTube睡眠时屏幕常亮耗电,P2,G_技术问题,G2_屏幕耗电问题,S5_完全无法解决,M5_完全不匹配,R1_直接相关,I2_常见问题,T0_通用,E_无奈,"睡觉时屏幕亮着耗电"
085,YouTube视频突然响亮开场音乐,P1,A_音量问题,A3_视频内音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_无奈,"开场音乐太响"
086,YouTube播客背景噪音问题,P2,B_音频质量,B5_背景噪音干扰,S3_部分可解决,M4_少量匹配,R3_中度相关,I2_常见问题,T4_播客访谈,E_困惑,"播客有背景噪音"
087,YouTube多人对话音量不均衡,P1,A_音量问题,A3_视频内音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I2_常见问题,T4_播客访谈,E_无奈,"多人对话音量差异大"
088,YouTube片尾卡片遮挡视频,P2,E_平台功能,E6_片尾卡片问题,S4_基本无法解决,M5_完全不匹配,R3_中度相关,I1_普遍问题,T0_通用,E_无奈,"片尾推荐遮挡视频"
089,YouTube冥想视频被中插广告打断,P0,D_广告相关,D1_广告打断内容,S4_基本无法解决,M2_高度匹配,R1_直接相关,I2_常见问题,T2_睡眠助眠,E_无奈,"冥想中途被广告打断"
090,YouTube变速播放音质失真,P2,G_技术问题,G3_变速播放问题,S3_部分可解决,M4_少量匹配,R3_中度相关,I2_常见问题,T0_通用,E_困惑,"变速后声音失真"
091,YouTube儿童视频自动播放到恐怖内容,P0,E_平台功能,E1_自动播放问题,S4_基本无法解决,M5_完全不匹配,R2_高度相关,I2_常见问题,T8_儿童内容,E_恐惧,"儿童内容自动播放到恐怖视频"
092,YouTube健身视频教练话太多,P2,C_语音语速,C4_说话风格问题,S5_完全无法解决,M5_完全不匹配,R3_中度相关,I2_常见问题,T5_教程讲解,E_无奈,"教练话太多不专业"
093,YouTube视频突然转场声音吓人,P1,A_音量问题,A4_突发音效,S1_完全可解决,M1_完美匹配,R2_高度相关,I2_常见问题,T0_通用,E_恐惧,"突然的转场音效吓人"
094,YouTube学习音乐结束后自动播放不同内容,P1,E_平台功能,E1_自动播放问题,S4_基本无法解决,M5_完全不匹配,R1_直接相关,I2_常见问题,T9_音乐,E_无奈,"学习音乐结束后播放其他内容"
095,YouTube HDR视频亮度过高伤眼,P2,G_技术问题,G4_HDR亮度问题,S5_完全无法解决,M5_完全不匹配,R2_高度相关,I2_常见问题,T0_通用,E_无奈,"HDR视频夜间太亮"
096,YouTube稳定音量功能破坏音频设计,P2,E_平台功能,E3_稳定音量功能,S4_基本无法解决,M5_完全不匹配,R3_中度相关,I2_常见问题,T0_通用,E_困惑,"稳定音量破坏创作者意图"
097,YouTube直播缓冲卡顿破坏体验,P2,G_技术问题,G5_缓冲卡顿问题,S5_完全无法解决,M5_完全不匹配,R3_中度相关,I2_常见问题,T0_通用,E_无奈,"直播经常缓冲"
098,YouTube钢琴视频有机械噪音,P2,B_音频质量,B5_背景噪音干扰,S3_部分可解决,M4_少量匹配,R2_高度相关,I3_特定场景,T9_音乐,E_困惑,"钢琴视频有机械咔嗒声"
099,YouTube自然声音循环明显不自然,P2,F_内容相关,F2_循环点明显,S5_完全无法解决,M5_完全不匹配,R2_高度相关,I2_常见问题,T3_白噪音自然声,E_无奈,"循环点太明显破坏沉浸感"
100,YouTube催眠视频节奏不合适,P2,F_内容相关,F3_内容风格不适,S5_完全无法解决,M5_完全不匹配,R1_直接相关,I2_常见问题,T2_睡眠助眠,E_无奈,"催眠视频节奏不适合个人"
